From	To
A0QNV7	MSMEG_0179
I7FVQ7	MSMEI_0176
A0QNV8	MSMEG_0180
I7FCM5	MSMEI_0177
A0QNV9	MSMEG_0181
A0QNX0	MSMEG_0192
I7FCN4	MSMEI_0187
I7F4X0	cut1
A0QNX2	MSMEG_0194
I7G2N0	MSMEI_0193
A0QNX6	MSMEG_0198
I7F4Y1	MSMEI_0199
A0QNY3	MSMEG_0207
I7FCP7	MSMEI_0202
A0QNY6	MSMEG_0209
I7F4Y8	MSMEI_0204
A0QNY8	MSMEG_0211
I7G1D3	MSMEI_0205
A0QNY9	MSMEG_0212
I7FCQ2	MSMEI_0207
A0QNZ1	MSMEG_0214
I7G2N8	MSMEI_0208
A0QNZ2	MSMEG_0215
I7G1D6	adhB
A0QNZ4	MSMEG_0217
A0QNZ6	MSMEG_0219
I7FCQ7	sigG
A0QNZ7	MSMEG_0220
A0QNZ8	MSMEG_0221
I7F4Z8	MSMEI_0214
I7G1D9	MSMEI_0215
A0QNZ9	MSMEG_0222
I7FVT3	MSMEI_0216
A0QP00	MSMEG_0223
I7FCR3	MSMEI_0217
A0QP01	MSMEG_0224
I7G2P4	mmpL5
A0QP02	MSMEG_0225
I7G1E2	MSMEI_0220
A0QP04	MSMEG_0227
I7FCR6	ilvD
A0QP06	ilvD
I7G2P7	MSMEI_0223
A0QP07	MSMEG_0230
I7F511	MSMEI_0224
A0QP08	MSMEG_0231
A0QP10	MSMEG_0233
I7FVU1	MSMEI_0226
I7FCS2	MSMEI_0227
A0QP11	MSMEG_0234
A0QP12	MSMEG_0235
I7G2Q1	MSMEI_0228
I7F515	MSMEI_0229
A0QP13	MSMEG_0236
I7FVU5	MSMEI_0231
A0QP15	MSMEG_0238
I7FCS7	MSMEI_0232
A0QP16	MSMEG_0239
A0QP17	MSMEG_0240
I7G2Q5	MSMEI_0233
A0QP18	mmpL11
I7G1F2	MSMEI_0235
A0QP19	MSMEG_0242
A0QP20	MSMEG_0243
I7FVV1	MSMEI_0236
A0QP21	MSMEG_0244
I7FCT1	prrA
I7G2Q8	MSMEI_0238
A0QP22	MSMEG_0246
I7FCT7	MSMEI_0242
A0QP26	MSMEG_0249
I7G2R2	mmpL3
A0QP27	MSMEG_0250
A0QP28	MSMEG_0251
I7F527	MSMEI_0244
A0QP29	trmB
I7G1F8	trmB
I7FCU2	MSMEI_0247
A0QP31	MSMEG_0254
A0QP32	pckG
I7G1G2	fadD4
A0QP34	MSMEG_0257
I7FCU8	MSMEI_0252
A0QP36	MSMEG_0258
A0QP37	MSMEG_0260
I7G2S0	MSMEI_0253
I7F536	MSMEI_0254
A0QP38	MSMEG_0261
A0QP39	MSMEG_0262
I7G1G5	MSMEI_0255
I7G2S3	MSMEI_0258
A0QP42	MSMEG_0266
A0QP43	MSMEG_0265
I7F541	MSMEI_0259
A0QP44	MSMEG_0267
I7G1G9	lipU
A0QP45	MSMEG_0268
I7FVX3	MSMEI_0261
I7FCV6	MSMEI_0262
A0QP46	MSMEG_0269
I7G2S8	MSMEI_0263
A0QP47	MSMEG_0270
I7G2T4	MSMEI_0273
A0QP57	MSMEG_0280
I7G1H9	MSMEI_0275
A0QP59	MSMEG_0282
I7FCX0	MSMEI_0277
A0QP61	MSMEG_0284
A0QP62	MSMEG_0285
I7G2T7	MSMEI_0278
I7F561	MSMEI_0279
A0QP63	MSMEG_0286
I7G2T9	MSMEI_0283
A0QP67	MSMEG_0290
I7F571	MSMEI_0289
A0QP73	MSMEG_0296
I7F576	MSMEI_0294
A0QP78	MSMEG_0301
I7FW09	MSMEI_0296
A0QP80	MSMEG_0302
A0QP81	MSMEG_0304
I7FCY8	fadD12
I7G2U7	MSMEI_0298
A0QP82	MSMEG_0305
I7F585	MSMEI_0304
A0QP87	MSMEG_0311
I7G1K0	MSMEI_0305
A0QP88	eda
I7FW17	MSMEI_0306
A0QP89	edd
A0QP90	zwf
I7G2V1	MSMEI_0308
A0QP91	MSMEG_0316
I7G1K3	MSMEI_0310
A0QP93	MSMEG_0317
A0QP94	MSMEG_0319
I7FW25	MSMEI_0311
I7F598	MSMEI_0314
A0QP97	MSMEG_0321
I7G1L0	MSMEI_0320
A0QPA2	MSMEG_0327
I7FW38	pccB-1
A0QPA8	MSMEG_0333
A0QPA9	MSMEG_0334
I7FD18	accA2
I7G2W6	MSMEI_0328
A0QPB0	MSMEG_0335
I7F5B6	MSMEI_0329
A0QPB1	MSMEG_0336
I7G1L8	MSMEI_0330
A0QPB2	MSMEG_0337
I7FW42	fadE12
A0QPB3	MSMEG_0338
